iso2c,countryname,year,edate,edate_lag,elec_id,elec_id_lag,parlgov_election_id,parlgov_election_id_lag,incoming_cabinet,incoming_cabinet_name,incoming_caretaker,incoming_minority_cabinet,incoming_president,outgoing_cabinet_lag,outgoing_cabinet_name_lag,outgoing_caretaker_lag,outgoing_minority_cabinet_lag,outgoing_president,cmp_pres,survey_pres,party,party_harmonized,map_vote,map_lr,party_name,partyabbrev,parfam,parfam_harmonized,vote_share,vote_share_lag,parlgov_id_1,parlgov_id_2,parlgov_id_3,parlgov_id_4,parlgov_parfam_1,parlgov_parfam_2,parlgov_parfam_3,parlgov_parfam_4,parlgov_vote_share_1,parlgov_vote_share_lag_1,parlgov_vote_share_2,parlgov_vote_share_lag_2,parlgov_vote_share_3,parlgov_vote_share_lag_3,parlgov_vote_share_4,parlgov_vote_share_lag_4,parlgov_vote_share,parlgov_vote_share_lag,gender_partyleader,gender_partyleader_lag,incoming_cabinet_party,incoming_prime_minister,incoming_support,outgoing_cabinet_party_lag,outgoing_prime_minister_lag,outgoing_support_lag,aux_cabinet_party,aux_cabinet_party_lag,aux_prime_minister,aux_prime_minister_lag,aux_minority,aux_cyid
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42420,42420,3,C,Austrian Freedom Party,FPÖ,nat nationalist,nat,0.26,0.205,50,NA,NA,NA,nat,NA,NA,NA,0.26,0.205,NA,NA,NA,NA,NA,NA,0.26,0.205,2,2,1,0,0,0,0,0,Junior Partner,Opposition,0,0,0,AT.2017
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42430,42430,5,E,The New Austria (NEOS),NEOS,lib liberal,lib,0.053,0.05,2255,NA,NA,NA,lib,NA,NA,NA,0.053,0.05,NA,NA,NA,NA,NA,NA,0.053,0.05,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AT.2017
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42520,42520,2,B,Austrian People's Party,ÖVP,chr christian democrat,mrp,0.315,0.24,1013,NA,NA,NA,mrp,NA,NA,NA,0.315,0.24,NA,NA,NA,NA,NA,NA,0.315,0.24,2,2,1,1,0,1,0,0,Main Government,Junior Partner,1,0,0,AT.2017
AU,Australia,1987,1987-07-11,1984-12-01,AU-1987-07,AU-1984-12,732,733,875,Hawke III,0,0,NA,401,Hawke II,0,0,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.458,0.475,1253,NA,NA,NA,soc,NA,NA,NA,0.458,0.475,NA,NA,NA,NA,NA,NA,0.458,0.475,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.1987
AU,Australia,1987,1987-07-11,1984-12-01,AU-1987-07,AU-1984-12,732,733,875,Hawke III,0,0,NA,401,Hawke II,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.343,0.341,1411,NA,NA,NA,mrp,NA,NA,NA,0.343,0.341,NA,NA,NA,NA,NA,NA,0.343,0.341,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.1987
AU,Australia,1987,1987-07-11,1984-12-01,AU-1987-07,AU-1984-12,732,733,875,Hawke III,0,0,NA,401,Hawke II,0,0,NA,0,0,63810,63810,3,C,National Party of Australia,NPA,agr agrarian,agr,0.115,0.106,184,NA,NA,NA,mrp,NA,NA,NA,0.115,0.106,NA,NA,NA,NA,NA,NA,0.115,0.106,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.1987
AU,Australia,1990,1990-03-24,1987-07-11,AU-1990-03,AU-1987-07,752,732,155,Hawke IV,0,0,NA,875,Hawke III,0,0,NA,0,0,63320,63320,2,NA,Australian Labor Party,ALP,soc social democratic,soc,0.394,0.458,1253,NA,NA,NA,soc,NA,NA,NA,0.394,0.458,NA,NA,NA,NA,NA,NA,0.394,0.458,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.1990
AU,Australia,1990,1990-03-24,1987-07-11,AU-1990-03,AU-1987-07,752,732,155,Hawke IV,0,0,NA,875,Hawke III,0,0,NA,0,0,63321,63321,4,NA,Australian Democrats,AD,soc social democratic,soc,0.113,0.06,120,NA,NA,NA,soc,NA,NA,NA,0.113,0.06,NA,NA,NA,NA,NA,NA,0.113,0.06,3,NA,NA,NA,NA,NA,NA,NA,Opposition,NA,0,NA,0,AU.1990
AU,Australia,1990,1990-03-24,1987-07-11,AU-1990-03,AU-1987-07,752,732,155,Hawke IV,0,0,NA,875,Hawke III,0,0,NA,0,0,63620,63620,1,NA,Liberal Party of Australia,LPA,con conservative,mrp,0.348,0.343,1411,NA,NA,NA,mrp,NA,NA,NA,0.348,0.343,NA,NA,NA,NA,NA,NA,0.348,0.343,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.1990
AU,Australia,1990,1990-03-24,1987-07-11,AU-1990-03,AU-1987-07,752,732,155,Hawke IV,0,0,NA,875,Hawke III,0,0,NA,0,0,63810,63810,3,NA,National Party of Australia,NPA,agr agrarian,agr,0.084,0.115,184,NA,NA,NA,mrp,NA,NA,NA,0.084,0.115,NA,NA,NA,NA,NA,NA,0.084,0.115,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.1990
AU,Australia,1996,1996-03-02,1993-03-13,AU-1996-03,AU-1993-03,754,753,402,Howard I,0,0,NA,49,Keating II,0,0,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.388,0.449,1253,NA,NA,NA,soc,NA,NA,NA,0.388,0.449,NA,NA,NA,NA,NA,NA,0.388,0.449,2,2,0,0,0,1,1,0,Opposition,Main Government,0,1,0,AU.1996
AU,Australia,1996,1996-03-02,1993-03-13,AU-1996-03,AU-1993-03,754,753,402,Howard I,0,0,NA,49,Keating II,0,0,NA,0,0,63321,63321,4,D,Australian Democrats,AD,soc social democratic,soc,0.068,0.113,120,NA,NA,NA,soc,NA,NA,NA,0.068,0.038,NA,NA,NA,NA,NA,NA,0.068,0.038,3,3,NA,NA,NA,NA,NA,0,Opposition,Opposition,0,0,0,AU.1996
AU,Australia,1996,1996-03-02,1993-03-13,AU-1996-03,AU-1993-03,754,753,402,Howard I,0,0,NA,49,Keating II,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.387,0.368,1411,NA,NA,NA,mrp,NA,NA,NA,0.387,0.368,NA,NA,NA,NA,NA,NA,0.387,0.368,2,2,1,1,0,0,0,0,Main Government,Opposition,1,0,0,AU.1996
AU,Australia,1996,1996-03-02,1993-03-13,AU-1996-03,AU-1993-03,754,753,402,Howard I,0,0,NA,49,Keating II,0,0,NA,0,0,63810,63810,3,C,National Party of Australia,NPA,agr agrarian,agr,0.082,0.072,184,NA,NA,NA,mrp,NA,NA,NA,0.082,0.072,NA,NA,NA,NA,NA,NA,0.082,0.072,2,2,1,0,0,0,0,0,Junior Partner,Opposition,0,0,0,AU.1996
AU,Australia,1998,1998-10-03,1996-03-02,AU-1998-10,AU-1996-03,756,754,423,Howard II,0,0,NA,402,Howard I,0,0,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.401,0.388,1253,NA,NA,NA,soc,NA,NA,NA,0.401,0.388,NA,NA,NA,NA,NA,NA,0.401,0.388,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.1998
AU,Australia,1998,1998-10-03,1996-03-02,AU-1998-10,AU-1996-03,756,754,423,Howard II,0,0,NA,402,Howard I,0,0,NA,0,0,63321,63321,4,D,Australian Democrats,AD,soc social democratic,soc,0.051,0.068,120,NA,NA,NA,soc,NA,NA,NA,0.051,0.068,NA,NA,NA,NA,NA,NA,0.051,0.068,3,3,NA,NA,NA,NA,NA,0,Opposition,Opposition,0,0,0,AU.1998
AU,Australia,1998,1998-10-03,1996-03-02,AU-1998-10,AU-1996-03,756,754,423,Howard II,0,0,NA,402,Howard I,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.339,0.387,1411,NA,NA,NA,mrp,NA,NA,NA,0.339,0.387,NA,NA,NA,NA,NA,NA,0.339,0.387,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.1998
AU,Australia,1998,1998-10-03,1996-03-02,AU-1998-10,AU-1996-03,756,754,423,Howard II,0,0,NA,402,Howard I,0,0,NA,0,0,63810,63810,3,C,National Party of Australia,NPA,agr agrarian,agr,0.053,0.082,184,NA,NA,NA,mrp,NA,NA,NA,0.053,0.082,NA,NA,NA,NA,NA,NA,0.053,0.082,2,2,1,0,0,1,0,0,Junior Partner,Junior Partner,0,0,0,AU.1998
AU,Australia,1998,1998-10-03,1996-03-02,AU-1998-10,AU-1996-03,756,754,423,Howard II,0,0,NA,402,Howard I,0,0,NA,0,0,NA,963009,6,E,One Nation,NA,NA,nat,0.084,NA,386,NA,NA,NA,nat,NA,NA,NA,0.084,NA,NA,NA,NA,NA,NA,NA,0.084,NA,1,NA,NA,NA,NA,NA,NA,NA,Opposition,NA,0,NA,0,AU.1998
AU,Australia,2004,2004-10-09,2001-11-10,AU-2004-10,AU-2001-11,762,760,234,Howard IV,0,0,NA,812,Howard III,0,0,NA,0,0,63110,63110,4,C,Australian Greens,NA,eco ecologist,eco,0.071,0.05,751,NA,NA,NA,eco,NA,NA,NA,0.072,0.05,NA,NA,NA,NA,NA,NA,0.072,0.05,4,NA,NA,NA,NA,NA,NA,NA,Opposition,NA,0,NA,0,AU.2004
AU,Australia,2004,2004-10-09,2001-11-10,AU-2004-10,AU-2001-11,762,760,234,Howard IV,0,0,NA,812,Howard III,0,0,NA,0,0,63320,63320,3,B,Australian Labor Party,ALP,soc social democratic,soc,0.376,0.378,1253,NA,NA,NA,soc,NA,NA,NA,0.376,0.378,NA,NA,NA,NA,NA,NA,0.376,0.378,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2004
AU,Australia,2004,2004-10-09,2001-11-10,AU-2004-10,AU-2001-11,762,760,234,Howard IV,0,0,NA,812,Howard III,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.405,0.371,1411,NA,NA,NA,mrp,NA,NA,NA,0.405,0.371,NA,NA,NA,NA,NA,NA,0.405,0.371,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.2004
AU,Australia,2004,2004-10-09,2001-11-10,AU-2004-10,AU-2001-11,762,760,234,Howard IV,0,0,NA,812,Howard III,0,0,NA,0,0,63810,63810,2,D,National Party of Australia,NPA,agr agrarian,agr,0.059,0.056,184,NA,NA,NA,mrp,NA,NA,NA,0.059,0.056,NA,NA,NA,NA,NA,NA,0.059,0.056,2,2,1,0,0,1,0,0,Junior Partner,Junior Partner,0,0,0,AU.2004
AU,Australia,2007,2007-11-24,2004-10-09,AU-2007-11,AU-2004-10,761,762,385,Rudd,0,0,NA,234,Howard IV,0,0,NA,0,0,63110,63110,4,D,Australian Greens,NA,eco ecologist,eco,0.078,0.071,751,NA,NA,NA,eco,NA,NA,NA,0.078,0.072,NA,NA,NA,NA,NA,NA,0.078,0.072,2,4,NA,NA,NA,NA,NA,0,Opposition,Opposition,0,0,0,AU.2007
AU,Australia,2007,2007-11-24,2004-10-09,AU-2007-11,AU-2004-10,761,762,385,Rudd,0,0,NA,234,Howard IV,0,0,NA,0,0,63320,63320,2,A,Australian Labor Party,ALP,soc social democratic,soc,0.434,0.376,1253,NA,NA,NA,soc,NA,NA,NA,0.434,0.376,NA,NA,NA,NA,NA,NA,0.434,0.376,3,2,1,1,0,0,0,0,Main Government,Opposition,1,0,0,AU.2007
AU,Australia,2007,2007-11-24,2004-10-09,AU-2007-11,AU-2004-10,761,762,385,Rudd,0,0,NA,234,Howard IV,0,0,NA,0,0,63620,63620,1,B,Liberal Party of Australia,LPA,con conservative,mrp,0.363,0.405,1411,NA,NA,NA,mrp,NA,NA,NA,0.363,0.405,NA,NA,NA,NA,NA,NA,0.363,0.405,2,2,0,0,0,1,1,0,Opposition,Main Government,0,1,0,AU.2007
AU,Australia,2007,2007-11-24,2004-10-09,AU-2007-11,AU-2004-10,761,762,385,Rudd,0,0,NA,234,Howard IV,0,0,NA,0,0,63810,63810,3,C,National Party of Australia,NPA,agr agrarian,agr,0.055,0.059,184,NA,NA,NA,mrp,NA,NA,NA,0.055,0.059,NA,NA,NA,NA,NA,NA,0.055,0.059,2,2,0,0,0,1,0,0,Opposition,Junior Partner,0,0,0,AU.2007
AU,Australia,2010,2010-08-21,2007-11-24,AU-2010-08,AU-2007-11,246,761,108,Gillard II,0,1,NA,736,Gillard I,0,0,NA,0,0,63110,63110,4,D,Australian Greens,NA,eco ecologist,eco,0.04,0.078,751,NA,NA,NA,eco,NA,NA,NA,0.1176,0.078,NA,NA,NA,NA,NA,NA,0.1176,0.078,2,2,0,0,1,NA,NA,0,Supporting Party,Opposition,0,0,1,AU.2010
AU,Australia,2010,2010-08-21,2007-11-24,AU-2010-08,AU-2007-11,246,761,108,Gillard II,0,1,NA,736,Gillard I,0,0,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.3799,0.434,1253,NA,NA,NA,soc,NA,NA,NA,0.3799,0.434,NA,NA,NA,NA,NA,NA,0.3799,0.434,1,3,1,1,0,1,1,0,Main Government,Main Government,1,1,1,AU.2010
AU,Australia,2010,2010-08-21,2007-11-24,AU-2010-08,AU-2007-11,246,761,108,Gillard II,0,1,NA,736,Gillard I,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.3046,0.363,1411,NA,NA,NA,mrp,NA,NA,NA,0.3046,0.363,NA,NA,NA,NA,NA,NA,0.3046,0.363,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,1,AU.2010
AU,Australia,2013,2013-09-07,2010-08-21,AU-2013-09,AU-2010-08,804,246,1066,Abbott,0,0,NA,1061,Rudd II,0,1,NA,0,0,63110,63110,3,C,Australian Greens,NA,eco ecologist,eco,0.086,0.04,751,NA,NA,NA,eco,NA,NA,NA,0.0865,0.1176,NA,NA,NA,NA,NA,NA,0.0865,0.1176,1,2,0,0,0,0,0,0,Opposition,Supporting Party,0,0,0,AU.2013
AU,Australia,2013,2013-09-07,2010-08-21,AU-2013-09,AU-2010-08,804,246,1066,Abbott,0,0,NA,1061,Rudd II,0,1,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.3338,0.3799,1253,NA,NA,NA,soc,NA,NA,NA,0.3338,0.3799,NA,NA,NA,NA,NA,NA,0.3338,0.3799,2,1,0,0,0,1,1,0,Opposition,Main Government,0,1,0,AU.2013
AU,Australia,2013,2013-09-07,2010-08-21,AU-2013-09,AU-2010-08,804,246,1066,Abbott,0,0,NA,1061,Rudd II,0,1,NA,0,0,63410,63410,4,D,Palmer United Party,PUP,lib liberal,lib,0.055,NA,2259,NA,NA,NA,lib,NA,NA,NA,0.0549,NA,NA,NA,NA,NA,NA,NA,0.0549,NA,2,NA,0,0,0,NA,NA,NA,Opposition,NA,0,NA,0,AU.2013
AU,Australia,2013,2013-09-07,2010-08-21,AU-2013-09,AU-2010-08,804,246,1066,Abbott,0,0,NA,1061,Rudd II,0,1,NA,0,0,63621,63621,1,A,Liberal National Party of Queensland,LNP,con conservative,mrp,0.089,0.091,154,NA,NA,NA,lib,NA,NA,NA,0.0892,0.0912,NA,NA,NA,NA,NA,NA,0.0892,0.0912,2,2,1,0,0,0,0,0,Main Government,Opposition,1,0,0,AU.2013
AU,Australia,2013,2013-09-07,2010-08-21,AU-2013-09,AU-2010-08,804,246,1066,Abbott,0,0,NA,1061,Rudd II,0,1,NA,0,0,63810,63810,5,E,National Party of Australia,NPA,agr agrarian,agr,0.043,0.055,184,NA,NA,NA,mrp,NA,NA,NA,0.0429,0.0373,NA,NA,NA,NA,NA,NA,0.0429,0.0373,2,2,1,0,0,0,0,0,Junior Partner,Opposition,0,0,0,AU.2013
AU,Australia,2016,2016-07-02,2013-09-07,AU-2016-07,AU-2013-09,1006,804,1490,Turnbull II,0,0,NA,1174,Turnbull I,0,0,NA,0,0,63110,63110,4,D,Australian Greens,NA,eco ecologist,eco,0.10233,0.0865,751,NA,NA,NA,eco,NA,NA,NA,0.1023,0.0865,NA,NA,NA,NA,NA,NA,0.1023,0.0865,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2016
AU,Australia,2016,2016-07-02,2013-09-07,AU-2016-07,AU-2013-09,1006,804,1490,Turnbull II,0,0,NA,1174,Turnbull I,0,0,NA,0,0,63320,63320,2,B,Australian Labor Party,ALP,soc social democratic,soc,0.34726,0.33383,1253,NA,NA,NA,soc,NA,NA,NA,0.3473,0.3338,NA,NA,NA,NA,NA,NA,0.3473,0.3338,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2016
AU,Australia,2016,2016-07-02,2013-09-07,AU-2016-07,AU-2013-09,1006,804,1490,Turnbull II,0,0,NA,1174,Turnbull I,0,0,NA,0,0,63620,63620,1,A,Liberal Party of Australia,LPA,con conservative,mrp,0.28675,0.32016,1411,NA,NA,NA,mrp,NA,NA,NA,0.2867,0.3202,NA,NA,NA,NA,NA,NA,0.2867,0.3202,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.2016
AU,Australia,2016,2016-07-02,2013-09-07,AU-2016-07,AU-2013-09,1006,804,1490,Turnbull II,0,0,NA,1174,Turnbull I,0,0,NA,0,0,63810,63810,3,C,National Party of Australia,NPA,agr agrarian,agr,0.04612,0.04292,184,NA,NA,NA,mrp,NA,NA,NA,0.0461,0.0429,NA,NA,NA,NA,NA,NA,0.0461,0.0429,2,2,1,0,0,1,0,0,Junior Partner,Junior Partner,0,0,0,AU.2016
AU,Australia,2019,2019-05-18,2016-07-02,AU-2019-05,AU-2016-07,1087,1006,1616,Morrison II,0,0,NA,1585,Morrison I,0,0,NA,0,0,63110,63110,36003,C,Australian Greens,NA,eco ecologist,eco,0.104,0.102,751,NA,NA,NA,eco,NA,NA,NA,0.104,0.1023,NA,NA,NA,NA,NA,NA,0.104,0.1023,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2019
AU,Australia,2019,2019-05-18,2016-07-02,AU-2019-05,AU-2016-07,1087,1006,1616,Morrison II,0,0,NA,1585,Morrison I,0,0,NA,0,0,63320,63320,36002,B,Australian Labor Party,ALP,soc social democratic,soc,0.3334,0.3473,1253,NA,NA,NA,soc,NA,NA,NA,0.3334,0.3473,NA,NA,NA,NA,NA,NA,0.3334,0.3473,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2019
AU,Australia,2019,2019-05-18,2016-07-02,AU-2019-05,AU-2016-07,1087,1006,1616,Morrison II,0,0,NA,1585,Morrison I,0,0,NA,0,0,63620,63620,36001,A,Liberal Party of Australia,LPA,con conservative,mrp,0.2799,0.2867,1411,NA,NA,NA,mrp,NA,NA,NA,0.2799,0.2867,NA,NA,NA,NA,NA,NA,0.2799,0.2867,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,AU.2019
AU,Australia,2019,2019-05-18,2016-07-02,AU-2019-05,AU-2016-07,1087,1006,1616,Morrison II,0,0,NA,1585,Morrison I,0,0,NA,0,0,63710,63710,36010,NA,Katter's Australian Party,NA,nat nationalist,nat,0.0049,0.0054,2258,NA,NA,NA,soc,NA,NA,NA,0.005,0.005,NA,NA,NA,NA,NA,NA,0.005,0.005,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AU.2019
AU,Australia,2019,2019-05-18,2016-07-02,AU-2019-05,AU-2016-07,1087,1006,1616,Morrison II,0,0,NA,1585,Morrison I,0,0,NA,0,0,63810,63810,36004,D,National Party of Australia,NPA,agr agrarian,agr,0.045,0.046,184,NA,NA,NA,mrp,NA,NA,NA,0.0451,0.0461,NA,NA,NA,NA,NA,NA,0.0451,0.0461,2,2,1,0,0,1,0,0,Junior Partner,Junior Partner,0,0,0,AU.2019
BE-VL,Belgium,1991,1991-11-24,1987-12-13,BE-VL-1991-11,BE-VL-1987-12,418,191,624,Dehaene I,0,0,NA,457,Martens VIII,0,0,NA,0,0,21112,21112,1,A,Green!,AGALEV,eco ecologist,eco,0.049,0.045,1594,NA,NA,NA,eco,NA,NA,NA,0.049,0.0449,NA,NA,NA,NA,NA,NA,0.049,0.0449,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,BE-VL.1991
BE-VL,Belgium,1991,1991-11-24,1987-12-13,BE-VL-1991-11,BE-VL-1987-12,418,191,624,Dehaene I,0,0,NA,457,Martens VIII,0,0,NA,0,0,21321,21321,4,D,Flemish Socialist Party,SP,soc social democratic,soc,0.12,0.149,1029,1113,NA,NA,soc,soc,NA,NA,0.12,0.1491,NA,NA,NA,NA,NA,NA,0.12,0.1491,2,2,1,0,0,1,0,0,Junior Partner,Opposition,0,0,0,BE-VL.1991
BE-VL,Belgium,1991,1991-11-24,1987-12-13,BE-VL-1991-11,BE-VL-1987-12,418,191,624,Dehaene I,0,0,NA,457,Martens VIII,0,0,NA,0,0,21421,21421,3,C,Party of Liberty and Progress,PVV,lib liberal,lib,0.12,0.115,1110,NA,NA,NA,lib,NA,NA,NA,0.12,0.1156,NA,NA,NA,NA,NA,NA,0.12,0.1156,2,1,0,0,0,0,0,0,Opposition,Junior Partner,0,0,0,BE-VL.1991
BE-VL,Belgium,1991,1991-11-24,1987-12-13,BE-VL-1991-11,BE-VL-1987-12,418,191,624,Dehaene I,0,0,NA,457,Martens VIII,0,0,NA,0,0,21521,21521,2,B,Christian People's Party,CVP,chr christian democrat,mrp,0.168,0.195,723,NA,NA,NA,mrp,NA,NA,NA,0.168,0.1947,NA,NA,NA,NA,NA,NA,0.168,0.1947,2,2,1,1,0,1,1,0,Main Government,Main Government,1,1,0,BE-VL.1991
